hhmm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
00:00,1,1,1,1,1,1,1
00:30,1,1,1,1,1,1,1
01:00,1,1,1,1,1,1,1
01:30,1,1,1,1,1,1,1
02:00,1,1,1,1,1,1,1
02:30,1,1,1,1,1,1,1
03:00,1,1,1,1,1,1,1
03:30,1,1,1,1,1,1,1
04:00,1,1,1,1,1,1,1
04:30,1,1,1,1,1,1,1
05:00,1,1,1,1,1,1,1
05:30,1,1,1,1,1,1,1
06:00,1,1,1,1,1,1,1
06:30,1,1,1,1,1,1,1
07:00,1,1,1,1,1,1,1
07:30,1,1,1,1,1,1,1
08:00,1,1,1,1,1,1,1
08:30,1,1,1,1,1,1,1
09:00,1,1,1,1,1,1,1
09:30,1,1,1,1,1,1,1
10:00,1,1,1,1,1,1,1
10:30,1,1,1,1,1,1,1
11:00,0,0,0,0,0,1,1
11:30,0,0,0,0,0,1,1
12:00,0,0,0,0,0,1,1
12:30,1,0,0,0,0,1,1
13:00,1,0,0,0,0,1,1
13:30,1,0,0,0,0,1,1
14:00,0,0,0,0,0,1,1
14:30,0,0,0,0,0,1,1
15:00,0,0,0,0,0,1,1
15:30,0,0,0,0,0,1,1
16:00,0,0,0,0,0,1,1
16:30,0,0,0,0,0,1,1
17:00,0,0,0,0,0,1,1
17:30,0,0,0,0,0,1,1
18:00,0,0,0,0,0,1,1
18:30,1,1,1,1,1,1,1
19:00,1,1,1,1,1,1,1
19:30,1,1,1,1,1,1,1
20:00,1,1,1,1,1,1,1
20:30,1,1,1,1,1,1,1
21:00,1,1,1,1,1,1,1
21:30,1,1,1,1,1,1,1
22:00,1,1,1,1,1,1,1
22:30,1,1,1,1,1,1,1
23:00,1,1,1,1,1,1,1
23:30,1,1,1,1,1,1,1
